head	relation	tail	time	confidence								
1	9	4730	1200	0.73								
1	10	26	1560	0.73								
1	10	46	1560	0.73								
1	11	5	1560	0.73								
1	11	18	1560	0.73								
1	11	46	1560	0.73								
1	11	49	1560	0.73								
1	11	69	7728	0.73								
1	11	84	3648	0.73								
1	11	262	1560	0.73								
1	11	406	1560	0.73								
1	11	538	1560	0.73								
1	11	970	8064	0.73								
1	11	1002	1560	0.73								
1	11	1289	1560	0.73								
1	11	1392	1560	0.73								
1	11	2991	1560	0.73								
1	11	5311	1560	0.73								
1	12	586	3648	0.73								
1	13	6925	8064	0.73								
1	14	5	3216	0.73								
1	14	18	8064	0.73								
1	14	26	8064	0.73								
1	14	49	8064	0.73								
1	14	84	1680	0.73								
1	14	262	8064	0.73								
1	14	365	8064	0.73								
1	14	1635	8064	0.73								
1	15	26	4872	0.73								
1	15	49	6552	0.73								
1	15	52	3672	0.73								
1	15	140	4872	0.73								
1	15	225	4872	0.73								
1	15	748	7272	0.73								
1	15	1002	4872	0.73								
1	15	1197	4872	0.73								
1	15	1303	4872	0.73								
1	15	2103	4872	0.73								
1	15	2250	4872	0.73								
1	16	46	3336	0.73								
1	16	362	7272	0.73								
1	17	26	792	0.73								
1	17	29	4992	0.73								
1	17	46	7248	0.73								
1	17	49	7464	0.73								
1	17	69	8400	0.73								
1	17	225	3336	0.73								
1	17	263	792	0.73								
1	17	362	4992	0.73								
1	17	586	7464	0.73								
1	17	708	1008	0.73								
1	17	748	696	0.73								
1	17	852	7704	0.73								
1	17	970	8064	0.73								
1	17	1289	3336	0.73								
1	17	1449	3336	0.73								
1	17	2103	3336	0.73								
1	17	2250	3336	0.73								
1	17	4730	7248	0.73								
1	18	0	8424	0.73								
1	18	26	8424	0.73								
1	18	49	7104	0.73								
1	18	131	8424	0.73								
1	18	214	8424	0.73								
1	18	305	2160	0.73								
1	18	321	2160	0.73								
1	18	322	2160	0.73								
1	18	502	7920	0.73								
1	18	538	7104	0.73								
1	18	554	7104	0.73								
1	18	970	8688	0.73								
1	18	1002	8424	0.73								
1	18	1289	8424	0.73								
1	18	2103	8424	0.73								
1	18	2180	8424	0.73								
1	18	3738	2184	0.73								
1	18	4725	7488	0.73								
1	18	4730	7104	0.73								
1	18	4967	7920	0.73								
1	18	5114	7104	0.73								
1	18	6001	5928	0.73								
1	18	6980	8688	0.73								
1	19	612	144	0.73								
1	20	225	4320	0.73								
1	20	290	4416	0.73								
1	20	1197	144	0.73								
1	22	49	3840	0.73								
1	22	970	3840	0.73								
1	22	1408	7608	0.73								
1	22	4730	3840	0.73								
1	24	26	1824	0.73								
1	24	49	3912	0.73								
1	24	82	3912	0.73								
1	24	262	1824	0.73								
1	24	467	3264	0.73								
1	24	538	3912	0.73								
1	24	1002	3840	0.73								
1	24	1635	1824	0.73								
1	24	3237	3264	0.73								
1	24	4730	3912	0.73								
1	25	46	7704	0.73								
1	25	49	7704	0.73								
1	25	179	3912	0.73								
1	25	262	5520	0.73								
1	25	1002	3912	0.73								
1	25	5361	7512	0.73								
1	32	2103	4728	0.73								
1	36	8	3984	0.73								
1	36	26	4728	0.73								
1	36	69	5928	0.73								
1	36	262	4728	0.73								
1	36	970	3984	0.73								
1	36	1449	4728	0.73								
1	36	2103	4728	0.73								
1	36	4233	4728	0.73								
1	38	46	1512	0.73								
1	38	69	5112	0.73								
1	38	1449	3984	0.73								
1	38	3318	3984	0.73								
1	41	0	552	0.73								
1	41	26	8712	0.73								
1	41	49	7032	0.73								
1	41	391	8712	0.73								
1	41	538	1296	0.73								
1	41	1634	552	0.73								
1	42	1002	7488	0.73								
1	43	26	4392	0.73								
1	43	970	8160	0.73								
1	43	4192	4392	0.73								
1	44	26	8160	0.73								
1	44	49	8136	0.73								
1	44	290	8160	0.73								
1	44	4730	8136	0.73								
1	54	1002	2016	0.73								
1	62	69	5832	0.73								
1	64	69	5832	0.73								
1	70	5999	4920	0.73								
1	71	46	4920	0.73								
1	71	1289	4920	0.73								
1	72	26	4920	0.73								
1	77	49	744	0.73								
1	88	586	5688	0.73								
1	103	970	1560	0.73								
1	110	46	1560	0.73								
1	172	26	3336	0.73								
1	174	69	7248	0.73								
1	186	69	5928	0.73								
2	29	60	5400	1								
2	1	3	6696	0.95								
2	29	331	5400	0.77								
2	1	913	6744	0.74								
2	11	6	792	0.51								
2	29	3	5400	0.51								
2	29	6	5400	0.51								
2	29	88	5400	0.51								
2	29	1623	5400	0.68								
2	1	60	6744	0.73								
2	1	1298	0	0.73								
2	1	1971	792	0.73								
2	24	6	2016	0.73								
2	29	78	5400	0.73								
2	29	1971	5400	0.73								
2	116	60	792	0.73								
3	1	958	6048	0.95								
3	1	6	8376	0.95								
3	28	4671	6000	0.8								
3	1	4671	8376	0.77								
3	25	5940	2976	0.74								
3	1	2	24	0.68								
3	9	88	2856	0.68								
3	9	331	2328	0.68								
3	15	60	8376	0.68								
3	15	420	8376	0.68								
3	15	2358	8376	0.68								
3	16	261	8376	0.68								
3	17	261	6048	0.68								
3	17	583	6048	0.68								
3	18	2316	6048	0.68								
3	25	1033	888	0.68								
3	27	6	6000	0.68								
3	36	261	8424	0.68								
3	43	3015	0	0.68								
3	50	60	384	0.68								
3	57	60	6096	0.68								
3	195	4671	6048	0.68								
3	1	60	8376	0.73								
3	1	88	6048	0.73								
3	1	582	8376	0.73								
3	1	802	6048	0.73								
3	1	913	6048	0.73								
3	1	5940	8376	0.73								
3	4	60	384	0.73								
3	4	176	0	0.73								
3	4	313	0	0.73								
3	4	331	0	0.73								
3	4	656	384	0.73								
3	4	1033	7272	0.73								
3	6	1290	8400	0.73								
3	9	60	2352	0.73								
3	9	1033	2304	0.73								
3	9	2877	6168	0.73								
3	9	4170	4464	0.73								
3	9	4671	3984	0.73								
3	15	6	8376	0.73								
3	15	29	8376	0.73								
3	15	88	8376	0.73								
3	15	261	8376	0.73								
3	15	331	8376	0.73								
3	15	428	8376	0.73								
3	15	849	8376	0.73								
3	15	958	8376	0.73								
3	15	961	8376	0.73								
3	15	1211	8376	0.73								
3	15	1290	8376	0.73								
3	15	4671	8376	0.73								
3	15	4686	8376	0.73								
3	15	5420	8376	0.73								
3	16	6	8376	0.73								
3	16	60	8376	0.73								
3	16	331	8376	0.73								
3	17	6	6048	0.73								
3	17	60	6048	0.73								
3	17	313	6048	0.73								
3	17	331	6048	0.73								
3	17	344	6048	0.73								
3	17	4671	6048	0.73								
3	17	5098	6048	0.73								
3	18	849	6048	0.73								
3	18	1262	6048	0.73								
3	19	60	6048	0.73								
3	19	313	6048	0.73								
3	20	5	6048	0.73								
3	22	60	7344	0.73								
3	22	656	7344	0.73								
3	22	5457	2976	0.73								
3	24	957	888	0.73								
3	24	4671	3000	0.73								
3	24	4682	3000	0.73								
3	24	4686	3000	0.73								
3	25	60	2976	0.73								
3	25	261	888	0.73								
3	25	331	888	0.73								
3	25	957	5736	0.73								
3	25	958	5736	0.73								
3	25	4671	2976	0.73								
3	26	60	2256	0.73								
3	28	60	6000	0.73								
3	28	344	6000	0.73								
3	28	907	6000	0.73								
3	29	60	6000	0.35								
3	29	331	6000	0.35								
3	30	60	6000	0.35								
3	30	78	6000	0.35								
3	30	261	6000	0.35								
3	30	331	6000	0.35								
3	30	428	6000	0.35								
3	30	720	6000	0.35								
3	36	6	8424	0.35								
3	36	22	8424	0.57								
3	36	428	8424	0.35								
3	37	1296	7008	0.35								
3	38	176	7272	0.35								
3	38	331	7272	0.56								
3	43	25	0	0.35								
3	43	60	0	0.35								
3	43	177	0	0.35								
3	43	261	0	0.35								
3	43	957	384	0.54								
3	43	6921	384	0.35								
3	47	60	384	0.35								
3	48	6	384	0.35								
3	48	60	384	0.35								
3	51	913	6096	0.35								
3	55	957	6096	0.52								
3	55	4671	6096	0.35								
3	67	60	4584	0.35								
3	69	78	4584	0.35								
3	74	768	8232	0.51								
3	74	1033	8232	0.35								
3	74	1211	8232	0.35								
3	74	2425	8232	0.35								
3	87	1290	2256	0.35								
3	87	2425	2352	0.35								
3	94	60	2472	0.35								
3	94	569	3096	0.35								
3	94	4671	3096	0.35								
3	95	313	5976	0.35								
3	95	720	3240	0.35								
3	98	60	2376	0.35								
3	98	331	2376	0.35								
3	98	1971	8544	0.35								
3	116	60	1128	0.35								
3	128	2633	3528	0.35								
3	134	60	3456	0.35								
3	140	60	8376	0.35								
3	206	60	6048	0.35								
3	228	331	4656	0.35								
4	17	5	2664	0.77								
4	38	633	3000	0.74								
4	2	5	7392	0.68								
4	11	119	2568	0.35								
4	15	144	2640	0.35								
4	15	810	3072	0.35								
4	18	5968	2688	0.35								
4	24	4020	2784	0.35								
4	41	95	3048	0.35								
5	17	3914	4176	1								
5	18	12	8544	1								
5	17	1008	4152	0.95								
5	18	177	8544	0.95								
5	32	8	4416	0.95								
5	15	122	4128	0.95								
5	18	60	4176	0.95								
5	14	180	4080	0.8								
5	17	18	4152	0.8								
5	17	329	4176	0.8								
5	18	4623	5472	0.8								
5	0	96	7776	0.77								
5	14	550	4992	0.77								
5	18	8	6096	0.77								
5	22	4005	4248	0.77								
5	74	12	5328	0.77								
5	0	1243	8400	0.74								
5	7	11	5232	0.74								
5	7	882	5424	0.74								
5	7	1240	5232	0.74								
5	14	18	4080	0.74								
5	18	18	8544	0.74								
5	18	290	8544	0.74								
5	22	185	6744	0.74								
5	22	2687	8064	0.74								
5	24	18	6120	0.74								
5	24	95	4296	0.74								
5	24	1107	4272	0.74								
5	41	55	8736	0.74								
5	48	49	4704	0.74								
5	58	8	6912	0.74								
5	77	18	5496	0.74								
5	114	578	5424	0.74								
5	114	633	6552	0.74								
5	7	46	5568	0.68								
5	7	302	5328	0.68								
5	7	321	5304	0.68								
5	7	936	5448	0.68								
5	7	1257	5232	0.68								
5	7	3603	7224	0.68								
5	9	8	7680	0.68								
5	9	362	5832	0.68								
5	9	365	5832	0.68								
5	9	633	5832	0.68								
5	9	1702	5760	0.68								
5	10	46	4032	0.68								
5	10	756	4032	0.68								
5	10	2687	4032	0.68								
5	11	1170	4032	0.68								
5	11	5819	5448	0.68								
5	13	329	6672	0.68								
5	14	60	4992	0.68								
5	14	670	4152	0.68								
5	15	1702	7104	0.68								
5	17	8	4176	0.68								
5	18	56	5472	0.68								
5	18	365	6360	0.68								
5	18	610	4176	0.68								
5	18	1842	8544	0.68								
5	18	6141	4176	0.68								
5	22	18	6744	0.68								
5	22	225	4248	0.68								
5	22	797	4248	0.68								
5	22	957	7944	0.68								
5	22	1339	6744	0.68								
5	24	46	5376	0.68								
5	24	589	5544	0.68								
5	24	701	4296	0.68								
5	38	329	7104	0.68								
5	43	12	4608	0.68								
5	43	290	4608	0.68								
5	43	578	4632	0.68								
5	48	381	4704	0.68								
5	48	610	4704	0.68								
5	48	817	4800	0.68								
5	52	2651	4872	0.68								
5	63	46	5064	0.68								
5	82	12	5520	0.68								
5	87	1339	5640	0.68								
5	97	8	5880	0.68								
5	101	18	4032	0.68								
5	101	365	4032	0.68								
5	118	633	4056	0.68								
5	0	8	4032	0.35								
5	0	12	8400	0.35								
5	0	18	3912	0.35								
5	0	85	4056	0.35								
5	0	198	4080	0.35								
5	0	797	4032	0.35								
5	0	2687	7032	0.35								
5	4	8	4704	0.35								
5	4	12	8736	0.35								
5	4	18	5568	0.35								
5	4	50	4656	0.35								
5	7	1	5232	0.35								
5	7	7	5856	0.35								
5	7	12	5232	0.35								
5	7	13	5232	0.35								
5	7	18	5256	0.35								
5	7	26	5256	0.35								
5	7	49	5328	0.35								
5	7	50	5328	0.35								
5	7	55	5352	0.35								
5	7	75	5376	0.35								
5	7	122	5232	0.35								
5	7	124	5232	0.35								
5	7	129	5232	0.35								
5	7	177	5256	0.35								
5	7	183	5544	0.35								
5	7	286	5280	0.35								
5	7	290	5280	0.35								
5	7	313	5304	0.35								
5	7	323	5304	0.35								
5	7	362	6432	0.35								
5	7	483	5328	0.35								
5	7	538	5352	0.35								
5	7	633	5376	0.35								
5	7	756	5376	0.35								
5	7	851	5400	0.35								
5	7	863	5424	0.35								
5	7	889	5688	0.35								
5	7	957	6096	0.35								
5	7	1025	5232	0.35								
5	7	1276	5232	0.35								
5	7	1333	5256	0.35								
5	7	1615	7872	0.35								
5	7	1702	5856	0.35								
5	7	1805	5544	0.35								
5	7	1862	5544	0.35								
5	7	1957	5256	0.35								
5	7	1968	5256	0.35								
5	7	2262	5256	0.35								
5	7	2687	8736	0.35								
5	7	2796	5280	0.35								
5	7	3194	5304	0.35								
5	7	3506	7224	0.35								
5	7	3886	5328	0.35								
5	7	4258	5328	0.35								
5	7	5678	5352	0.35								
5	7	5756	5352	0.35								
5	7	5819	5352	0.35								
5	7	6312	5376	0.35								
5	7	6570	5376	0.35								
5	9	12	5736	0.35								
5	9	17	5760	0.35								
5	9	18	7752	0.35								
5	9	22	5736	0.35								
5	9	46	5808	0.35								
5	9	49	5808	0.35								
5	9	96	5904	0.35								
5	9	180	7752	0.35								
5	9	198	7752	0.35								
5	9	431	5808	0.35								
5	9	467	5808	0.35								
5	9	550	5832	0.35								
5	9	644	5832	0.35								
5	9	1339	5736	0.35								
5	9	2687	5736	0.35								
5	9	3243	8208	0.35								
5	9	6130	5832	0.35								
5	10	8	4032	0.35								
5	10	12	4032	0.35								
5	10	18	4032	0.35								
5	10	39	4032	0.35								
5	10	95	4032	0.35								
5	10	177	4032	0.35								
5	10	223	4032	0.35								
5	10	399	4032	0.35								
5	10	543	7920	0.35								
5	10	633	7920	0.35								
5	10	863	4032	0.35								
5	10	882	4032	0.35								
5	10	1339	4032	0.35								
5	11	8	4056	0.35								
5	11	12	4032	0.35								
5	11	18	4032	0.35								
5	11	49	5448	0.35								
5	11	60	5448	0.35								
5	11	122	4032	0.35								
5	11	143	4032	0.35								
5	11	633	4056	0.35								
5	11	646	4056	0.35								
5	11	801	4056	0.35								
5	11	1008	4032	0.35								
5	11	3914	6000	0.35								
5	11	4190	7680	0.35								
5	11	5018	5448	0.35								
5	11	5293	5448	0.35								
5	11	5810	5448	0.35								
5	11	6166	5448	0.35								
5	11	6345	4056	0.35								
5	11	6671	4056	0.35								
5	12	12	4056	0.35								
5	12	18	4056	0.35								
5	13	802	4872	0.35								
5	13	961	4080	0.35								
5	13	6736	4080	0.35								
5	14	1	4080	0.35								
5	14	8	4128	0.35								
5	14	12	4080	0.35								
5	14	17	4080	0.35								
5	14	46	4104	0.35								
5	14	177	4080	0.35								
5	14	508	4104	0.35								
5	14	633	4992	0.35								
5	14	2334	4080	0.35								
5	15	8	4152	0.35								
5	15	12	4128	0.35								
5	15	18	7104	0.35								
5	15	60	4152	0.35								
5	15	644	4152	0.35								
5	15	1615	7104	0.35								
5	16	8	4152	0.35								
5	16	18	4152	0.35								
5	16	96	4152	0.35								
5	16	3184	4536	0.35								
5	17	12	4152	0.35								
5	18	11	4224	0.35								
5	18	46	5472	0.35								
5	18	55	5472	0.35								
5	18	96	6096	0.35								
5	18	132	8544	0.35								
5	18	362	6360	0.35								
5	18	431	5472	0.35								
5	18	505	5472	0.35								
5	18	550	5472	0.35								
5	18	633	4176	0.35								
5	18	756	4944	0.35								
5	18	863	6096	0.35								
5	18	957	6096	0.35								
5	18	1801	8544	0.35								
5	18	2032	8544	0.35								
5	19	8	6264	0.35								
5	19	18	4200	0.35								
5	19	50	4200	0.35								
5	20	60	7584	0.35								
5	22	8	4248	0.35								
5	22	12	6744	0.35								
5	22	17	6744	0.35								
5	22	46	4248	0.35								
5	22	49	4248	0.35								
5	22	60	4392	0.35								
5	22	95	7944	0.35								
5	22	96	7944	0.35								
5	22	106	4248	0.35								
5	22	129	6744	0.35								
5	22	177	6744	0.35								
5	22	180	6744	0.35								
5	22	204	6744	0.35								
5	22	323	4248	0.35								
5	22	399	4248	0.35								
5	22	578	4392	0.35								
5	22	1789	6744	0.35								
5	22	5714	7320	0.35								
5	23	12	4248	0.35								
5	23	18	4248	0.35								
5	24	8	4296	0.35								
5	24	12	6120	0.35								
5	24	17	6120	0.35								
5	24	29	4272	0.35								
5	24	49	5376	0.35								
5	24	55	5544	0.35								
5	24	96	4296	0.35								
5	24	144	6120	0.35								
5	24	177	6120	0.35								
5	24	586	5544	0.35								
5	24	633	5544	0.35								
5	24	851	4296	0.35								
5	24	1617	6120	0.35								
5	24	2687	4272	0.35								
5	24	3046	4272	0.35								
5	25	7	4320	0.35								
5	25	8	6912	0.35								
5	25	18	4296	0.35								
5	25	1688	4296	0.35								
5	28	404	5712	0.35								
5	28	1921	4368	0.35								
5	29	18	4392	0.35								
5	31	2018	5592	0.35								
5	32	7	4416	0.35								
5	32	25	4416	0.35								
5	32	129	4416	0.35								
5	36	18	4824	0.35								
5	36	1688	4824	0.35								
5	39	18	4536	0.35								
5	39	168	4536	0.35								
5	39	177	4536	0.35								
5	39	1339	4536	0.35								
5	41	8	8736	0.35								
5	41	12	8736	0.35								
5	41	17	8736	0.35								
5	41	18	4560	0.35								
5	41	46	4560	0.35								
5	41	50	4560	0.35								
5	41	1825	8736	0.35								
5	41	1842	8736	0.35								
5	41	1858	8736	0.35								
5	41	3833	4560	0.35								
5	41	4804	6000	0.35								
5	42	18	4584	0.35								
5	42	421	4632	0.35								
5	43	8	4608	0.35								
5	43	18	4632	0.35								
5	43	46	4632	0.35								
5	43	85	4632	0.35								
5	43	96	4608	0.35								
5	43	122	4608	0.35								
5	43	177	4608	0.35								
5	43	365	6120	0.35								
5	43	633	4632	0.35								
5	43	778	4608	0.35								
5	43	1339	4608	0.35								
5	43	2687	4632	0.35								
5	43	6978	4704	0.35								
5	47	8	4704	0.35								
5	48	8	4704	0.35								
5	48	12	4704	0.35								
5	48	18	4704	0.35								
5	48	50	4704	0.35								
5	48	60	4752	0.35								
5	48	96	4704	0.35								
5	48	122	4704	0.35								
5	51	348	4824	0.35								
5	52	17	4824	0.35								
5	52	177	7104	0.35								
5	52	633	4824	0.35								
5	52	1350	4824	0.35								
5	54	8	4920	0.35								
5	56	995	4896	0.35								
5	56	3046	4968	0.35								
5	60	18	7080	0.35								
5	63	8	8256	0.35								
5	63	18	5064	0.35								
5	63	734	6216	0.35								
5	63	2240	5088	0.35								
5	65	18	5256	0.35								
5	70	802	5880	0.35								
5	72	96	5328	0.35								
5	74	8	5328	0.35								
5	74	18	5568	0.35								
5	74	608	8616	0.35								
5	77	8	5400	0.35								
5	77	12	5400	0.35								
5	80	8	5520	0.35								
5	82	129	5544	0.35								
5	83	327	5592	0.35								
5	86	8	5880	0.35								
5	87	17	5880	0.35								
5	87	177	5880	0.35								
5	87	180	5640	0.35								
5	87	387	5640	0.35								
5	87	589	5640	0.35								
5	87	633	5664	0.35								
5	87	734	5880	0.35								
5	87	2240	5736	0.35								
5	91	12	5736	0.35								
5	91	18	5832	0.35								
5	96	12	5856	0.35								
5	96	871	7392	0.35								
5	98	2687	6576	0.35								
5	99	177	4032	0.35								
5	101	12	4032	0.35								
5	101	1339	4032	0.35								
5	102	8	4032	0.35								
5	103	8	4032	0.35								
5	103	12	4032	0.35								
5	108	18	4032	0.35								
